Weekly SST data starts week centered on 3Jan1990 
Nino34
"Date","SST","SSTA"
"1997Oct08",29.2,2.6
"1997Oct15",29.2,2.5
"1997Oct22",29.3,2.6
"1997Oct29",29.2,2.6
"1997Nov05",29.2,2.6
"1997Nov12",29.3,2.7
"1997Nov19",29.3,2.7
"1997Nov26",29.4,2.8
"1997Dec03",29.2,2.6
"1997Dec10",29.2,2.7
"1997Dec17",29.3,2.7
"1997Dec24",29.3,2.7
"1997Dec31",29.2,2.7
"1998Jan07",29.2,2.6
"1998Jan14",29.1,2.5
"1998Jan21",29,2.4
"1998Jan28",29.1,2.4
"1998Feb04",29.2,2.5
"1998Feb11",29,2.3
"1998Feb18",28.7,1.9
"1998Feb25",28.6,1.7
"1998Mar04",28.5,1.5
"1998Mar11",28.7,1.6
"1998Mar18",28.6,1.4
"1998Mar25",28.8,1.5
"1998Apr01",28.7,1.2
"1998Apr08",28.6,1
"1998Apr15",28.4,0.6
"1998Apr22",28.5,0.7
"1998Apr29",28.7,0.8
"1998May06",29.1,1.3
"1998May13",28.8,0.9
"1998May20",28.3,0.5
"1998May27",27.9,0.1
"1998Jun03",27.1,-0.6
"1998Jun10",26.9,-0.8
"1998Jun17",26.7,-1
"1998Jun24",26.4,-1.1
"1998Jul01",26.4,-1.1
"1998Jul08",26.2,-1.2
"1998Jul15",25.9,-1.4
"1998Jul22",25.7,-1.4
"1998Jul29",25.7,-1.4
"1998Aug05",25.6,-1.4
"1998Aug12",25.5,-1.4
"1998Aug19",25.2,-1.6
"1998Aug26",25.6,-1.2
"1998Sep02",25.6,-1.2
"1998Sep09",25.9,-0.8
"1998Sep16",25.7,-1
"1998Sep23",25.5,-1.2
"1998Sep30",25.1,-1.6
"1998Oct07",25.3,-1.4
"1998Oct14",25.4,-1.3
"1998Oct21",25.3,-1.4
"1998Oct28",25.5,-1.2
"1998Nov04",25.2,-1.5
"1998Nov11",25.2,-1.5
"1998Nov18",25.2,-1.4
"1998Nov25",25.1,-1.5
"1998Dec02",25.1,-1.5
"1998Dec09",24.8,-1.8
"1998Dec16",24.7,-1.8
"1998Dec23",24.6,-1.9
"1998Dec30",24.7,-1.9
"1999Jan06",24.7,-1.9
"1999Jan13",25,-1.6
"1999Jan20",25,-1.6
"1999Jan27",25,-1.6
"1999Feb03",25.2,-1.5
"1999Feb10",25.2,-1.5
"1999Feb17",25.5,-1.3
"1999Feb24",25.7,-1.2
"1999Mar03",26.1,-0.9
"1999Mar10",26.1,-1
"1999Mar17",26.2,-1
"1999Mar24",26.5,-0.9
"1999Mar31",26.5,-1
"1999Apr07",26.7,-0.9
"1999Apr14",26.8,-0.9
"1999Apr21",27,-0.8
"1999Apr28",27,-0.8
"1999May05",27,-0.8
"1999May12",27.1,-0.7
"1999May19",26.9,-0.9
"1999May26",26.9,-0.9
"1999Jun02",26.7,-1.1
"1999Jun09",26.6,-1.1
"1999Jun16",26.6,-1.1
"1999Jun23",26.5,-1
"1999Jun30",26.6,-0.8
"1999Jul07",26.6,-0.7
"1999Jul14",26.4,-0.8
"1999Jul21",26.2,-0.9
"1999Jul28",26,-1
"1999Aug04",26,-1
"1999Aug11",25.6,-1.3
"1999Aug18",25.4,-1.4
"1999Aug25",25.5,-1.3
"1999Sep01",25.4,-1.4
"1999Sep08",25.7,-1.1
"1999Sep15",25.7,-1
"1999Sep22",25.8,-0.9
"1999Sep29",25.9,-0.8
"1999Oct06",25.7,-1
"1999Oct13",25.8,-0.9
"1999Oct20",25.6,-1
"1999Oct27",25.4,-1.3
"1999Nov03",25.4,-1.3
"1999Nov10",25.4,-1.3
"1999Nov17",25.2,-1.5
"1999Nov24",24.7,-1.9
"1999Dec01",24.9,-1.7
"1999Dec08",25.1,-1.4
"1999Dec15",24.9,-1.7
"1999Dec22",24.9,-1.6
"1999Dec29",24.6,-1.9
"2000Jan05",24.5,-2
"2000Jan12",24.7,-1.9
"2000Jan19",24.8,-1.8
"2000Jan26",24.6,-2
"2000Feb02",24.8,-1.9
"2000Feb09",25.1,-1.6
"2000Feb16",25.4,-1.4
"2000Feb23",25.2,-1.6
"2000Mar01",25.5,-1.5
"2000Mar08",25.7,-1.4
"2000Mar15",26,-1.2
"2000Mar22",26.3,-1.1
"2000Mar29",26.8,-0.7
"2000Apr05",27,-0.6
"2000Apr12",26.9,-0.8
"2000Apr19",27,-0.8
"2000Apr26",27.1,-0.7
"2000May03",27.1,-0.7
"2000May10",27.1,-0.7
"2000May17",27.1,-0.8
"2000May24",27.1,-0.7
"2000May31",27.2,-0.5
"2000Jun07",27,-0.7
"2000Jun14",27.1,-0.6
"2000Jun21",27,-0.6
"2000Jun28",26.9,-0.6
"2000Jul05",26.9,-0.5
"2000Jul12",26.8,-0.5
"2000Jul19",26.7,-0.5
"2000Jul26",26.5,-0.6
"2000Aug02",26.6,-0.4
