Date,Time,Cal,Uncal
2020/09/27,13:37:54,28,21
2020/09/27,13:38:04,26,16
2020/09/27,13:38:14,29,13
2020/09/27,13:38:24,28,15
2020/09/27,13:38:34,28,20
2020/09/27,13:38:44,28,20
2020/09/27,13:38:54,29,18
2020/09/27,13:39:04,27,17
2020/09/27,13:39:14,29,18
2020/09/27,13:39:24,29,18
2020/09/27,13:39:34,29,18
2020/09/27,13:39:44,28,15
2020/09/27,13:39:54,28,14
2020/09/27,13:40:04,28,13
2020/09/27,13:40:14,29,12
2020/09/27,13:40:24,40,14
2020/09/27,13:40:34,32,15
2020/09/27,13:40:44,32,16
2020/09/27,13:40:54,28,15
2020/09/27,13:41:04,30,19
2020/09/27,13:41:14,28,17
2020/09/27,13:41:24,27,16
2020/09/27,13:41:34,27,16
2020/09/27,14:53:14,25,14
2020/09/27,14:53:24,24,17
2020/09/27,14:53:34,25,20
2020/09/27,14:53:44,27,19
2020/09/27,14:53:54,24,19
2020/09/27,14:54:04,25,17
2020/09/27,14:54:14,25,15
2020/09/27,14:54:24,24,14
2020/09/27,14:54:34,24,14
2020/09/27,14:54:44,25,13
2020/09/27,14:54:54,25,13
2020/09/27,14:55:04,24,12
2020/09/27,14:55:14,24,12
2020/09/27,14:55:24,24,11
2020/09/27,14:55:34,27,10
2020/09/27,14:55:44,24,11
2020/09/27,14:55:54,24,11
2020/09/27,14:56:04,25,12
2020/09/27,14:56:14,25,11
2020/09/27,14:56:24,25,11
2020/09/27,14:56:34,24,12
2020/09/27,14:56:44,24,11
2020/09/27,14:56:54,24,10
2020/09/27,14:57:04,24,11
2020/09/27,14:57:14,25,13
2020/09/27,14:57:24,24,14
2020/09/27,14:57:34,26,13
2020/09/27,14:57:44,24,12
2020/09/27,14:57:54,24,13
2020/09/27,14:58:04,24,11
2020/09/27,14:58:14,25,14
2020/09/27,14:58:24,24,17
2020/09/27,14:58:34,25,17
2020/09/27,14:58:44,24,16
2020/09/27,14:58:54,25,16
2020/09/27,14:59:04,25,15
2020/09/27,14:59:14,25,11
2020/09/27,14:59:24,26,9
2020/09/27,14:59:34,25,10
2020/09/27,14:59:44,24,11
2020/09/27,14:59:54,24,13
2020/09/27,15:00:04,24,12
2020/09/27,15:00:14,25,13
2020/09/27,15:00:24,24,11
2020/09/27,15:00:34,24,8
2020/09/27,15:00:44,24,11
2020/09/27,15:00:54,25,11
2020/09/27,15:01:04,25,12
2020/09/27,15:01:14,25,14
2020/09/27,15:01:24,25,14
2020/09/27,15:01:34,24,12
2020/09/27,15:01:44,27,11
2020/09/27,15:01:54,26,10
2020/09/27,15:02:04,24,8
2020/09/27,15:02:14,24,9
2020/09/27,15:02:24,26,12
2020/09/27,15:02:34,26,14
2020/09/27,15:02:44,24,14
2020/09/27,15:02:54,25,14
2020/09/27,15:03:04,25,12
2020/09/27,15:03:14,24,11
2020/09/27,15:03:24,25,11
2020/09/27,15:03:34,24,12
2020/09/27,15:03:44,26,14
2020/09/27,15:03:54,30,14
2020/09/27,15:04:04,31,15
2020/09/27,15:04:14,25,14
2020/09/27,15:04:24,24,12
2020/09/27,15:04:34,25,12
2020/09/27,15:04:44,24,9
2020/09/27,15:04:54,24,8
2020/09/27,15:05:04,24,10
2020/09/27,15:05:14,24,8
2020/09/27,15:05:24,32,8
2020/09/27,15:05:34,28,12
2020/09/27,15:05:44,24,11
2020/09/27,15:05:54,24,12
2020/09/27,15:06:14,24,13
2020/09/27,15:06:24,24,14
2020/09/27,15:06:34,25,14
2020/09/27,15:06:44,24,14
2020/09/27,15:06:54,24,12
2020/09/27,15:07:04,25,9
2020/09/27,15:07:14,24,11
2020/09/27,15:07:24,24,10
2020/09/27,15:07:34,25,12
2020/09/27,15:07:44,24,12
2020/09/27,15:07:54,24,11
2020/09/27,15:08:04,23,12
2020/09/27,15:08:14,24,12
2020/09/27,15:08:24,25,13
2020/09/27,15:08:34,24,10
2020/09/27,15:08:44,25,13
2020/09/27,15:08:54,26,15
2020/09/27,15:09:04,26,14
2020/09/27,15:09:14,24,14
2020/09/27,15:09:24,26,13
2020/09/27,15:09:34,24,16
